country_id,country_name,region_id,region_name,city_id,city_name
113,Россия,1624,Республика Татарстан,7047,Светлое Озеро
113,Россия,1624,Республика Татарстан,7235,Совхоз Татарстан
113,Россия,1624,Республика Татарстан,6317,Сокуры
113,Россия,1624,Республика Татарстан,7183,Старое Альметьево
113,Россия,1624,Республика Татарстан,3692,Старое Дрожжаное
113,Россия,1624,Республика Татарстан,7042,Старое Сафарово
113,Россия,1624,Республика Татарстан,7223,Старое Шаймурзино
113,Россия,1624,Республика Татарстан,7211,Старошешминск
113,Россия,1624,Республика Татарстан,7250,Старые Бугады
113,Россия,1624,Республика Татарстан,7245,Старые Карамалы
113,Россия,1624,Республика Татарстан,7247,Старые Челны
113,Россия,1624,Республика Татарстан,7118,Старый Кашир
113,Россия,1624,Республика Татарстан,7215,Старый Кувак
113,Россия,1624,Республика Татарстан,7103,Старый Юраш
113,Россия,1624,Республика Татарстан,6315,Столбище
113,Россия,1624,Республика Татарстан,7179,Сулеево
113,Россия,1624,Республика Татарстан,7019,Такталачук
113,Россия,1624,Республика Татарстан,7046,Татарские Суксы
113,Россия,1624,Республика Татарстан,7246,Татарские Ямалы
113,Россия,1624,Республика Татарстан,7252,Татарский Сарсаз
113,Россия,1624,Республика Татарстан,7131,Татарское Адельшино
113,Россия,1624,Республика Татарстан,7073,Тенишево
113,Россия,1624,Республика Татарстан,7109,Теньки
113,Россия,1624,Республика Татарстан,7218,Терси
113,Россия,1624,Республика Татарстан,1644,Тетюши
113,Россия,1624,Республика Татарстан,5115,Тимяшево
113,Россия,1624,Республика Татарстан,7101,Тлянче-Тамак
113,Россия,1624,Республика Татарстан,7219,Тумутук
113,Россия,1624,Республика Татарстан,4187,Тюлячи
113,Россия,1624,Республика Татарстан,7060,Тюрнясево
113,Россия,1624,Республика Татарстан,4188,Убей
113,Россия,1624,Республика Татарстан,7151,Урняк
113,Россия,1624,Республика Татарстан,2953,Уруссу
113,Россия,1624,Республика Татарстан,7148,Урюм
113,Россия,1624,Республика Татарстан,6465,Усады
113,Россия,1624,Республика Татарстан,7016,Учалле
113,Россия,1624,Республика Татарстан,7130,Хозесаново
113,Россия,1624,Республика Татарстан,7084,Ципья
113,Россия,1624,Республика Татарстан,7228,Чалпы
113,Россия,1624,Республика Татарстан,7203,Чепчуги
113,Россия,1624,Республика Татарстан,4189,Черемшан
113,Россия,1624,Республика Татарстан,1645,Чистополь
113,Россия,1624,Республика Татарстан,4190,Чувашское Дрожжаное
113,Россия,1624,Республика Татарстан,7066,Чэчэкле
113,Россия,1624,Республика Татарстан,7161,Шапши
113,Россия,1624,Республика Татарстан,7202,Шеланга
113,Россия,1624,Республика Татарстан,4191,Шемордан
113,Россия,1624,Республика Татарстан,7212,Шереметьевка
113,Россия,1624,Республика Татарстан,7150,Шингальчи
113,Россия,1624,Республика Татарстан,7050,Шипки
113,Россия,1624,Республика Татарстан,7181,Шушмабаш
113,Россия,1624,Республика Татарстан,7283,Юлтимерово
113,Россия,1624,Республика Татарстан,7034,Ютаза
113,Россия,1624,Республика Татарстан,7251,Юхмачи
113,Россия,1646,Удмуртская Республика,4192,Алнаши
113,Россия,1646,Удмуртская Республика,7057,Арзамасцево
113,Россия,1646,Удмуртская Республика,7256,Бабино
113,Россия,1646,Удмуртская Республика,3768,Балезино
113,Россия,1646,Удмуртская Республика,7112,Балезино-3
113,Россия,1646,Удмуртская Республика,11898,Бемыж
113,Россия,1646,Удмуртская Республика,7110,Большая Уча
113,Россия,1646,Удмуртская Республика,7058,Большое Волково
113,Россия,1646,Удмуртская Республика,4193,Большой Зетым
113,Россия,1646,Удмуртская Республика,7204,Булай
113,Россия,1646,Удмуртская Республика,4194,Вавож
113,Россия,1646,Удмуртская Республика,7233,Водзимонье
113,Россия,1646,Удмуртская Республика,1647,Воткинск
113,Россия,1646,Удмуртская Республика,1648,Глазов
113,Россия,1646,Удмуртская Республика,4195,Грахово
113,Россия,1646,Удмуртская Республика,4196,Дебёсы
113,Россия,1646,Удмуртская Республика,7155,Дизьмино
113,Россия,1646,Удмуртская Республика,4197,Ершовка
113,Россия,1646,Удмуртская Республика,4198,Завьялово
113,Россия,1646,Удмуртская Республика,4199,Засеково
113,Россия,1646,Удмуртская Республика,7284,Зура
113,Россия,1646,Удмуртская Республика,3717,Игра
113,Россия,1646,Удмуртская Республика,96,Ижевск
113,Россия,1646,Удмуртская Республика,7027,Июльское
113,Россия,1646,Удмуртская Республика,7062,Какмож
113,Россия,1646,Удмуртская Республика,7088,Кама
113,Россия,1646,Удмуртская Республика,1649,Камбарка
113,Россия,1646,Удмуртская Республика,11930,Каменное (Удмуртская Республика)
113,Россия,1646,Удмуртская Республика,7163,Камское
113,Россия,1646,Удмуртская Республика,4200,Каракулино
113,Россия,1646,Удмуртская Республика,7092,Каркалай
113,Россия,1646,Удмуртская Республика,7152,Карсовай
113,Россия,1646,Удмуртская Республика,7189,Кварса
113,Россия,1646,Удмуртская Республика,7157,Кватчи
113,Россия,1646,Удмуртская Республика,4201,Кез
113,Россия,1646,Удмуртская Республика,11676,Кечёво
113,Россия,1646,Удмуртская Республика,7175,Кигбаево
113,Россия,1646,Удмуртская Республика,4202,Кизнер
113,Россия,1646,Удмуртская Республика,4203,Кильмезь
113,Россия,1646,Удмуртская Республика,4204,Киясово
113,Россия,1646,Удмуртская Республика,4205,Красногорское
113,Россия,1646,Удмуртская Республика,7056,Кулига
113,Россия,1646,Удмуртская Республика,7041,Кыйлуд
113,Россия,1646,Удмуртская Республика,7040,Лынга
113,Россия,1646,Удмуртская Республика,7108,Мазунино
113,Россия,1646,Удмуртская Республика,4206,Малая Пурга
113,Россия,1646,Удмуртская Республика,7008,Менил
113,Россия,1646,Удмуртская Республика,1650,Можга
113,Россия,1646,Удмуртская Республика,7028,Мукши
113,Россия,1646,Удмуртская Республика,7100,Нечкино
113,Россия,1646,Удмуртская Республика,7272,Новая Бия
113,Россия,1646,Удмуртская Республика,6753,Новый Мултан
113,Россия,1646,Удмуртская Республика,7098,Нылга
113,Россия,1646,Удмуртская Республика,7009,Нюрдор-Котья
113,Россия,1646,Удмуртская Республика,7137,Октябрьский (Удмуртская Республика)
113,Россия,1646,Удмуртская Республика,7038,Орловское
113,Россия,1646,Удмуртская Республика,4207,Пирогово
113,Россия,1646,Удмуртская Республика,7133,Подшивалово
113,Россия,1646,Удмуртская Республика,7166,Понино
113,Россия,1646,Удмуртская Республика,11995,Малая Венья
113,Россия,1646,Удмуртская Республика,7160,Пугачево
113,Россия,1646,Удмуртская Республика,7207,Пудем
113,Россия,1646,Удмуртская Республика,7184,Пычас
113,Россия,1646,Удмуртская Республика,7072,Рябово (Удмуртская Республика)
113,Россия,1646,Удмуртская Республика,1651,Сарапул
113,Россия,1646,Удмуртская Республика,4208,Селты
113,Россия,1646,Удмуртская Республика,4209,Сигаево
113,Россия,1646,Удмуртская Республика,11677,Среднее Кечёво
113,Россия,1646,Удмуртская Республика,7077,Старые Зятцы
113,Россия,1646,Удмуртская Республика,7126,Старые Какси
113,Россия,1646,Удмуртская Республика,4210,Сюмси
113,Россия,1646,Удмуртская Республика,7196,Тарасово
113,Россия,1646,Удмуртская Республика,2959,Ува
113,Россия,1646,Удмуртская Республика,7236,Удугучин
113,Россия,1646,Удмуртская Республика,7165,Укан
113,Россия,1646,Удмуртская Республика,7285,Уральский (Удмуртская Республика)
113,Россия,1646,Удмуртская Республика,11695,Ушур
113,Россия,1646,Удмуртская Республика,7025,Факел
113,Россия,1646,Удмуртская Республика,4211,Хохряки
113,Россия,1646,Удмуртская Республика,7271,Чепца
113,Россия,1646,Удмуртская Республика,7143,Чур
113,Россия,1646,Удмуртская Республика,7122,Чутырь
113,Россия,1646,Удмуртская Республика,4212,Шаркан
113,Россия,1646,Удмуртская Республика,4213,Юкаменское
113,Россия,1646,Удмуртская Республика,7154,Яган-Докья
113,Россия,1646,Удмуртская Республика,7014,Якшур
113,Россия,1646,Удмуртская Республика,4214,Якшур-Бодья
113,Россия,1646,Удмуртская Республика,4215,Яр
113,Россия,1652,Чувашская Республика,7232,Айбечи
113,Россия,1652,Чувашская Республика,7266,Аксарино
113,Россия,1652,Чувашская Республика,1653,Алатырь
113,Россия,1652,Чувашская Республика,4216,Аликово
113,Россия,1652,Чувашская Республика,7226,Алманчиково
113,Россия,1652,Чувашская Республика,7093,Алтышево
113,Россия,1652,Чувашская Республика,7198,Анастасово
113,Россия,1652,Чувашская Республика,7106,Анаткасы
113,Россия,1652,Чувашская Республика,7086,Атнары
113,Россия,1652,Чувашская Республика,7176,Атрать
113,Россия,1652,Чувашская Республика,3678,Батырево
113,Россия,1652,Чувашская Республика,7170,Бичурга-Баишево
113,Россия,1652,Чувашская Республика,7121,Богатырево
113,Россия,1652,Чувашская Республика,7015,Большая Выла
113,Россия,1652,Чувашская Республика,7224,Большие Алгаши
113,Россия,1652,Чувашская Республика,7144,Большие Катраси
113,Россия,1652,Чувашская Республика,7200,Большие Яуши
113,Россия,1652,Чувашская Республика,7173,Большое Шигаево
113,Россия,1652,Чувашская Республика,7262,Большое Яниково
113,Россия,1652,Чувашская Республика,3680,Большой Сундырь
